Reference, Quantity, Value, Footprint, Datasheet, LCSC, MPN, Manufacturer, Supplier, URL
Q2 Q5 ,2,"BSS169","Package_TO_SOT_SMD:SOT-23","https://datasheet.lcsc.com/lcsc/1810261812_Infineon-Technologies-BSS169H6327_C83053.pdf","C83053","BSS169H6327","Infineon","LCSC",""
Q4 ,1,"BC847BDW1","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://datasheet.lcsc.com/lcsc/1810010214_onsemi-BC847BDW1T1G_C82368.pdf","C82368","BC847BDW1T1G","onsemi","LCSC",""
Q6 ,1,"BRCS4484","fanControl:BRCS4484","https://datasheet.lcsc.com/lcsc/2012021739_Foshan-Blue-Rocket-Elec-BRCS4484SC_C914060.pdf","C914060","BRCS4484SC","Foshan Blue Rocket Elec ","LCSC",""
R1 R2 R14 R20 R29 R31 R32 ,7,"1k","agro-footprint:RES_0805","https://datasheet.lcsc.com/lcsc/1810010217_YAGEO-RC0805JR-071KL_C100046.pdf","C100046","RC0805JR-071KL","Yageo","LCSC",""
R12 R13 R26 R27 R28 ,5,"470R","agro-footprint:RES_0805","https://datasheet.lcsc.com/lcsc/1810162110_YAGEO-RC0805JR-07470RL_C114747.pdf","C114747","RC0805JR-07470RL","Yageo","LCSC",""
R16 ,1,"3k6","agro-footprint:RES_0805","https://datasheet.lcsc.com/lcsc/1810311331_YAGEO-AC0805JR-073K6L_C229201.pdf","C229201","AC0805JR-073K6L","Yageo","LCSC",""
R17 ,1,"6k8","agro-footprint:RES_0805","https://datasheet.lcsc.com/lcsc/1810311425_YAGEO-RC0805JR-076K8L_C137409.pdf","C137409","RC0805JR-076K8L","Yageo","LCSC",""
R18 ,1,"1k1 1%","agro-footprint:RES_0805","https://datasheet.lcsc.com/lcsc/1810241428_YAGEO-RC0805FR-071K1L_C185294.pdf","C185294","RC0805FR-071K1L","Yageo","LCSC",""
R19 ,1,"3k3 1%","agro-footprint:RES_0805","https://datasheet.lcsc.com/lcsc/1810311430_YAGEO-RC0805FR-073K3L_C114531.pdf","C114531","RC0805FR-073K3L","Yageo","LCSC",""
R3 R15 R30 R33 ,4,"100k","agro-footprint:RES_0805","https://datasheet.lcsc.com/lcsc/1810241513_YAGEO-RC0805JR-07100KL_C100049.pdf","C100049","RC0805JR-07100KL","Yageo","LCSC",""
R4 R7 R8 R10 R11 R21 R22 R23 R24 R25 ,10,"10k","agro-footprint:RES_0805","https://datasheet.lcsc.com/lcsc/1810171610_YAGEO-RC0805JR-0710KL_C100047.pdf","C100047","RC0805JR-0710KL","Yageo","LCSC",""
R5 ,1,"2k2","agro-footprint:RES_0805","https://datasheet.lcsc.com/lcsc/1810311425_YAGEO-RC0805JR-072K2L_C114237.pdf","C114237","RC0805JR-072K2L","Yageo","LCSC",""
R6 ,1,"4k7","agro-footprint:RES_0805","https://datasheet.lcsc.com/lcsc/1810010620_YAGEO-RC0805JR-074K7L_C105427.pdf","C105427","RC0805JR-074K7L","Yageo","LCSC",""
R9 ,1,"47k","agro-footprint:RES_0805","https://datasheet.lcsc.com/lcsc/1810311310_YAGEO-RC0805JR-0747KL_C131051.pdf","C131051","RC0805JR-0747KL","Yageo","LCSC",""
RV1 ,1,"1k","fanControl:pot","https://datasheet.lcsc.com/lcsc/1810170727_HDK-Hokuriku-Elec-Industry-VG039NCHXTB102_C128543.pdf","C128543","VG039NCHXTB102","HDK","LCSC",""
U2 ,1,"CH340B","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://www.mpja.com/download/35227cpdata.pdf","C81010","CH340B","WCH","LCSC",""
U3 ,1,"LM2575BT-ADJ","Package_TO_SOT_THT:TO-220-5_Vertical","https://datasheet.lcsc.com/lcsc/1912111437_HGSEMI-LM2575T-ADJ_C434579.pdf","C434579","LM2575T-ADJ","HGSEMI","LCSC",""
U4 ,1,"LM1117","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://datasheet.lcsc.com/lcsc/1809301716_Texas-Instruments-LM1117IMPX-3-3-NOPB-_C23984.pdf","C23984","LM1117IMPX-3.3/NOPB","Texas Instruments","LCSC",""
U5 ,1,"ESP-12E","kicad-ESP8266:ESP-12E","http://l0l.org.uk/2014/12/esp8266-modules-hardware-guide-gotta-catch-em-all/","C89297","ESP-12E","Ai-Thinker","LCSC",""
Y1 ,1,"12M","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","https://datasheet.lcsc.com/lcsc/1912111437_JGHC-S3212000101080_C390763.pdf","C390763","S3212000101080","JGHC","LCSC",""
